,Id,Code,Name,was,subsequent,Class,Standard Concept Caption,RC,DRC,PC,DPC,Valid Start Date,Valid End Date,Domain,Vocabulary
,40398840,194815007,Aborted myocardial infarction,1,,Disorder,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,07/31/2006,Condition,SNOMED
,1413806,I21.211,Acute anterior inferior wall myocardial infarction (machine translation),1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,37163023,1204155000,Acute anterior non-ST segment elevation myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,02/28/2022,12/31/2099,Condition,SNOMED
,37163022,1204154001,Acute anterior non-ST segment elevation myocardial infarction with right ventricular involvement,1,,Disorder,Standard,timeout,timeout,timeout,timeout,02/28/2022,12/31/2099,Condition,SNOMED
,45766075,703164000,Acute anterior ST segment elevation myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,07/31/2014,12/31/2099,Condition,SNOMED
,3227072,703165004,Acute anterior ST segment elevation myocardial infarction with right ventricular involvement,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2014,12/31/2099,Condition,Nebraska Lexicon
,3173997,52035003,Acute anteroapical myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,07/31/2015,12/31/2099,Condition,Nebraska Lexicon
,4178129,52035003,Acute anteroapical myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,4267568,62695002,Acute anteroseptal myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,SNOMED
,3414739,62695002,Acute anteroseptal myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2002,12/31/2099,Condition,Nebraska Lexicon
,3360856,78741000119103,Acute coronary artery occlusion not resulting in myocardial infarction,1,,Clinical Finding,Non-Standard,timeout,timeout,timeout,timeout,01/31/2014,12/31/2099,Condition,Nebraska Lexicon
,44784623,78741000119103,Acute coronary artery occlusion not resulting in myocardial infarction,1,,Disorder,Standard,timeout,timeout,timeout,timeout,01/31/2014,12/31/2099,Condition,SNOMED
,44831238,411.81,Acute coronary occlusion without myocardial infarction,1,,5-dig billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/1970,12/31/2099,Condition,ICD9CM
,35207698,I24.0,Acute coronary thrombosis not resulting in myocardial infarction,1,,4-char billing code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2007,12/31/2099,Condition,ICD10CM
,1413800,I21.204,Acute high lateral myocardial infarction (machine translation),1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
,1413792,I21.103,Acute inferior myocardial infarction (machine translation),1,,ICD10 code,Non-Standard,timeout,timeout,timeout,timeout,01/01/2016,12/31/2099,Condition,ICD10CN
